college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 3,Regular seat allocation,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",AI & DS,OBC-NCL,OBC-NCL category rank,All India,Female-only (including Supernumerary),11386,11386,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 3,Regular seat allocation,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",AI & DS,OBC-NCL,OBC-NCL category rank,All India,Gender-Neutral,8343,12262,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 3,Regular seat allocation,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",AI & DS,OPEN,CRL,All India,Female-only (including Supernumerary),29340,30869,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 3,Regular seat allocation,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",AI & DS,OPEN,CRL,All India,Gender-Neutral,17087,28580,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 3,Regular seat allocation,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",AI & DS,OPEN (PwD),OPEN-PwD rank,All India,Gender-Neutral,1927,1960,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 3,Regular seat allocation,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",AI & DS,SC,SC category rank,All India,Gender-Neutral,6201,8134,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 3,Regular seat allocation,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",AI & DS,ST,ST category rank,All India,Gender-Neutral,1706,3767,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 3,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,EWS,EWS category rank,All India,Female-only (including Supernumerary),4305,4619,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 3,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,EWS,EWS category rank,All India,Gender-Neutral,4105,4634,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 3,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OBC-NCL,OBC-NCL category rank,All India,Female-only (including Supernumerary),8468,12697,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 3,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OBC-NCL,OBC-NCL category rank,All India,Gender-Neutral,7141,11324,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 3,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OBC-NCL (PwD),OBC-NCL (PwD) category rank,All India,Gender-Neutral,695,869,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 3,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN,CRL,All India,Female-only (including Supernumerary),17401,27663,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 3,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN,CRL,All India,Gender-Neutral,11064,26826,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 3,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN (PwD),OPEN-PwD rank,All India,Gender-Neutral,524,1488,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 3,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC,SC category rank,All India,Female-only (including Supernumerary),5956,6784,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 3,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC,SC category rank,All India,Gender-Neutral,4721,7579,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 3,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC (PwD),SC (PwD) category rank,All India,Gender-Neutral,103,103,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 3,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,ST,ST category rank,All India,Female-only (including Supernumerary),3044,3044,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 3,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,ST,ST category rank,All India,Gender-Neutral,1427,3623,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 3,Regular seat allocation,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,EWS,EWS category rank,All India,Gender-Neutral,5645,6114,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 3,Regular seat allocation,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OBC-NCL,OBC-NCL category rank,All India,Female-only (including Supernumerary),14500,14643,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 3,Regular seat allocation,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OBC-NCL,OBC-NCL category rank,All India,Gender-Neutral,11631,14324,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
