college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OBC-NCL,OBC-NCL category rank,Home State,Gender-Neutral,13554,20207,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OBC-NCL (PwD),OBC-NCL (PwD) category rank,Home State,Gender-Neutral,947,947,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OPEN,CRL,Home State,Female-only (including Supernumerary),43331,52123,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OPEN,CRL,Home State,Gender-Neutral,18380,42920,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OPEN (PwD),OPEN-PwD rank,Home State,Gender-Neutral,967,967,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,SC,SC category rank,Home State,Female-only (including Supernumerary),10756,11067,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,SC,SC category rank,Home State,Gender-Neutral,4504,9701,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,ST,ST category rank,Home State,Female-only (including Supernumerary),676,676,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,ST,ST category rank,Home State,Gender-Neutral,609,1552,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,EWS,EWS category rank,Other State,Female-only (including Supernumerary),6967,6967,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,EWS,EWS category rank,Other State,Gender-Neutral,5699,5812,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,EWS (PwD),EWS (PwD) category rank,Other State,Gender-Neutral,259,259,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OBC-NCL,OBC-NCL category rank,Other State,Female-only (including Supernumerary),14418,16188,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OBC-NCL,OBC-NCL category rank,Other State,Gender-Neutral,10008,11594,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
