college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,SC,SC category rank,Other State,Female-only (including Supernumerary),2281,5056,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,SC,SC category rank,Other State,Gender-Neutral,3426,4400,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,SC (PwD),SC (PwD) category rank,Other State,Gender-Neutral,94,94,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,ST,ST category rank,Other State,Female-only (including Supernumerary),2187,2187,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,ST,ST category rank,Other State,Gender-Neutral,1020,1601,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,EWS,EWS category rank,Home State,Female-only (including Supernumerary),1028,1028,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,EWS,EWS category rank,Home State,Gender-Neutral,744,791,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,EWS (PwD),EWS (PwD) category rank,Home State,Gender-Neutral,131,131,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL,OBC-NCL category rank,Home State,Female-only (including Supernumerary),2452,2840,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL,OBC-NCL category rank,Home State,Gender-Neutral,1185,2045,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
